Ordnungszahl,Englisch,Deutsch,Symbol,Atomgewicht,Periode,Gruppe,Zeile,Spalte
1,Hydrogen,Wasserstoff,H,1008,1,1,1,1
2,Helium,Helium,He,4003,1,18,1,18
3,Lithium,Lithium,Li,6939,2,1,2,1
4,Beryllium,Beryllium,Be,9012,2,2,2,2
5,Boron,Bor,B,10811,2,13,2,13
6,Carbon,Kohlenstoff,C,12011,2,14,2,14
7,Nitrogen,Stickstoff,N,14007,2,15,2,15
8,Oxygen,Sauerstoff,O,15999,2,16,2,16
9,Fluorine,Fluor,F,18998,2,17,2,17
10,Neon,Neon,Ne,20183,2,18,2,18
11,Sodium,Natrium,Na,22.99,3,1,3,1
12,Magnesium,Magnesium,Mg,24312,3,2,3,2
13,Aluminium,Aluminium,Al,26982,3,13,3,13
14,Silicon,Silizium,Si,28086,3,14,3,14
15,Phosphorus,Phosphor,P,30974,3,15,3,15
16,Sulphur,Schwefel,S,32064,3,16,3,16
17,Chlorine,Chlor,Cl,35453,3,17,3,17
18,Argon,Argon,Ar,39948,3,18,3,18
19,Potassium,Kalium,K,39102,4,1,4,1
20,Calcium,Calcium,Ca,40.08,4,2,4,2
21,Scandium,Scandium,Sc,44956,4,3,4,3
22,Titanium,Titan,Ti,47.9,4,4,4,4
23,Vanadium,Vanadium,V,50.94,4,5,4,5
24,Chromium,Chrom,Cr,52,4,6,4,6
25,Manganese,Mangan,Mn,54.94,4,7,4,7
26,Iron,Eisen,Fe,55.85,4,8,4,8
27,Cobalt,Cobalt,Co,58.93,4,9,4,9
28,Nickel,Nickel,Ni,58.71,4,10,4,10
29,Copper,Kupfer,Cu,63.54,4,11,4,11
30,Zinc,Zink,Zn,65.37,4,12,4,12
31,Gallium,Gallium,Ga,69.72,4,13,4,13
32,Germanium,Germanium,Ge,72.59,4,14,4,14
33,Arsenic,Arsen,As,74.92,4,15,4,15
34,Selenium,Selenium,Se,78.96,4,16,4,16
35,Bromine,Brom,Br,79909,4,17,4,17
36,Krypton,Krypton,Kr,83.8,4,18,4,18
37,Rubidium,Rubidium,Rb,85.47,5,1,5,1
38,Strontium,Strontium,Sr,87.62,5,2,5,2
39,Yttrium,Yttrium,Y,88905,5,3,5,3
40,Zirconium,Zirconium,Zr,91.22,5,4,5,4
41,Niobium,Niob,Nb,92906,5,5,5,5
42,Molybdenum,Molybdän,Mo,95.94,5,6,5,6
43,Technetium,Technetium,Tc,99,5,7,5,7
44,Ruthenium,Ruthenium,Ru,101.07,5,8,5,8
45,Rhodium,Rhodium,Rh,102.92,5,9,5,9
46,Palladium,Palladium,Pd,106.4,5,10,5,10
47,Silver,Silber,Ag,107.87,5,11,5,11
48,Cadmium,Cadmium,Cd,112.4,5,12,5,12
49,Indium,Indium,In,114.82,5,13,5,13
50,Tin,Zinn,Sn,118.69,5,14,5,14
51,Antimony,Antimon,Sb,121.75,5,15,5,15
52,Tellurium,Tellur,Te,127.6,5,16,5,16
53,Iodine,Jod,I,126904,5,17,5,17
54,Xenon,Xenon,Xe,131.3,5,18,5,18
55,Caesium,Caesium,Cs,132905,6,1,6,1
56,Barium,Barium,Ba,137.34,6,2,6,2
57,Lanthanum,Lanthan,La,138.91,6,3,9,3
58,Cerium,Cer,Ce,140.12,6,La,9,4
59,Praseodymium,Praseodym,Pr,140907,6,La,9,5
60,Neodymium,Neodym,Nd,144.24,6,La,9,6
61,Promethium,Promethium,Pm,147,6,La,9,7
62,Samarium,Samarium,Sm,150.35,6,La,9,8
63,Europium,Europium,Eu,151.96,6,La,9,9
64,Gadolinium,Gadolinium,Gd,157.25,6,La,9,10
65,Terbium,Terbium,Tb,158.92,6,La,9,11
66,Dysprosium,Dysprosium,Dy,162.5,6,La,9,12
67,Holmium,Holmium,Ho,164.93,6,La,9,13
68,Erbium,Erbium,Er,167.26,6,La,9,14
69,Thulium,Thulium,Tm,168.93,6,La,9,15
70,Ytterbium,Ytterbium,Yb,173.04,6,La,9,16
71,Lutetium,Lutetium,Lu,174.97,6,La,9,17
72,Hafnium,Hafnium,Hf,178.49,6,4,6,4
73,Tantalum,Tantal,Ta,180.95,6,5,6,5
74,Tungsten,Wolfram,W,183.85,6,6,6,6
75,Rhenium,Rhenium,Re,186.2,6,7,6,7
76,Osmium,Osmium,Os,190.2,6,8,6,8
77,Iridium,Iridium,Ir,192.2,6,9,6,9
78,Platinum,Platin,Pt,195.09,6,10,6,10
79,Gold,Gold,Au,196.97,6,11,6,11
80,Mercury,Quecksilber,Hg,200.59,6,12,6,12
81,Thallium,Thallium,Tl,204.37,6,13,6,13
82,Lead,Blei,Pb,207.19,6,14,6,14
83,Bismuth,Wismut,Bi,208.98,6,15,6,15
84,Polonium,Polonium,Po,210,6,16,6,16
85,Astatine,Astat,At,211,6,17,6,17
86,Radon,Radon,Rn,222,6,18,6,18
87,Francium,Francium,Fr,223,7,1,7,1
88,Radium,Radium,Ra,226.05,7,2,7,2
89,Actinium,Actinium,Ac,227.05,7,3,10,3
90,Thorium,Thorium,Th,232.12,7,Ac,10,4
91,Protactinium,Protactinium,Pa,231.05,7,Ac,10,5
92,Uranium,Uran,U,238.07,7,Ac,10,6
93,Neptunium,Neptunium,Np,237,7,Ac,10,7
94,Plutonium,Plutonium,Pu,239,7,Ac,10,8
95,Americium,Americium,Am,241,7,Ac,10,9
96,Curium,Curium,Cm,242,7,Ac,10,10
97,Berkelium,Berkelium,Bk,243,7,Ac,10,11
98,Californium,Californium,Cf,251,7,Ac,10,12
99,Einsteinium,Einsteinium,Es,246,7,Ac,10,13
100,Fermium,Fermium,Fm,250,7,Ac,10,14
101,Mendelevium,Mendelevium,Md,256,7,Ac,10,15
102,Nobelium,Nobelium,No,254,7,Ac,10,16
103,Lawrencium,Lawrencium,Lr,257,7,Ac,10,17
104,Rutherfordium,Rutherfordium,Rf,267,7,4,7,4
105,Dubnium,Dubnium,Db,268,7,5,7,5
106,Seaborgium,Seaborgium,Sg,271,7,6,7,6
107,Bohrium,Bohrium,Bh,,7,7,7,7
108,Hassium,Hassium,Hs,,7,8,7,8
109,Meitnerium,Meitnerium,Mt,,7,9,7,9
110,Darmstadtium,Darmstadtium,Ds,,7,10,7,10
111,Roentgenium,Roentgenium,Rg,,7,11,7,11
112,Copernicium,Copernicium,Cn,,7,12,7,12
113,Ununtrium,Ununtrium,Uut,,7,13,7,13
114,Flerovium,Flerovium,Fl,,7,14,7,14
115,Ununpentium,Ununpentium,Uup,,7,15,7,15
116,Livermorium,Livermorium,Lv,,7,16,7,16
117,Ununseptium,Ununseptium,Uus,,7,17,7,17
118,Ununoctium,Ununoctium,Uuo,,7,18,7,18
